artist,title,spo_link
Mesto,Leyla,https://open.spotify.com/track/4pEylyftELdaYfRROnRhFs?si=215db3d650194d8c
Cheat Codes,Highway,https://open.spotify.com/track/4rhdtzBmrrDxYi35yQDpzF?si=834501f274e34768
Dusky Grey,Uncontrollable,https://open.spotify.com/track/47Mw10WRIWBH8OewdwDegP?si=87d565c5f34b4d55
Midnight Kids,Run It,https://open.spotify.com/track/6eXliMTRlXBrCDdUHSObYC?si=3a7978684bf24dad
Will Heard,Fallin` 4 U,https://open.spotify.com/track/3kVh9i8HrYnUN2lm0XrE3O?si=749266a4036b4679
RAYE,Please Don’t Touch,https://open.spotify.com/track/16eNwSoWmJh5GSjN8ECmIp?si=245b4779b2674c3b
ROOKIES,Paycheck,https://open.spotify.com/track/2746lCDcKoBhnZLt3oKX1Q?si=062620103f514d9b
Kris Kross Amsterdam,Ooh Girl (feat. A Boogie Wit da Hoodie),https://open.spotify.com/track/1mKNyZCNDueEASgBgZuLdA?si=8db311fbd43d445d
Clara Mae,Unmiss You,https://open.spotify.com/track/2wlJT4GJkQNXeI4GxLUhLQ?si=2da7e8e6e8184ecc
Brandin Jay,Winnin',https://open.spotify.com/track/5XVVnY05dxrHsaz74QAC6o?si=d9b760ba03e74609
John K,Rum n Tequila,https://open.spotify.com/track/3kSmaObYtsjFbusk0HBBuX?si=90a0335115fc4a85
Alif,OBVIOUS,https://open.spotify.com/track/5EWZDT8s7uQFq5Uu7GeSdb?si=20316b777dcc4dea
Billy Davis,I Ain't (Feat. PJ Morton & Jordan Dennis),https://open.spotify.com/album/4eMoY9TElWDmQecz9y1ESp?si=deff5ef7757b48d1
Ocean Park Standoff,Good Time,https://open.spotify.com/track/7cPKQeCtGjRjoFVw6ub5rS?si=b657d16453384985
Will Jay,Broke,https://open.spotify.com/track/1CJIVOGMIvka5h8sptssak?si=885eb327122341ff
Jax Jones,Harder,https://open.spotify.com/track/5RgBnDtHKFHgtVdqabjGE3?si=a487dfb259444668
Guy Sebastian,Choir,https://open.spotify.com/track/0DmBEuBzHlpd4yUfVcsBEl?si=a744539a939a4ed0
ayokay,Cassette,https://open.spotify.com/track/3GweDldi2HrraUKLexWUeb?si=d21e1ab868ee42d4
Jordy Searcy,Why Can't We Be Friends?,https://open.spotify.com/track/76Ofga6jpwtRnjybpXAvTP?si=c0887aee93824e98
Brandin Jay,Parkin' Lot,https://open.spotify.com/track/10sNbmhmKnVOAiLqNhqT6z?si=1d186d9e0979495b
